Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Spożywanie napojów słodzonych wiąże się z większym ryzykiem zachorowania na cukrzycę typu 2, ponieważ każde dodatkowe dziennie spożyte porcje napojów słodzonych zwiększają ryzyko zachorowania o 25%.",가당 음료의 소비는 제2형 당뇨병의 위험 증가와 관련이 있다. 가당 음료를 매일 추가로 제공할 때마다 질병 발병 위험이 25% 더 높아지기 때문이다.,,"비타민 D 결핍은 노인들에게 흔하며, 이는 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있다고 합니다.","비타민 D 결핍은 노인들에게 흔하며, 이는 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있다고 한다.",달콤한 음료를 섭취하면 2 형 당뇨병의 위험이 높아지기 때문에 매일 섭취하는 달콤한 음료의 추가 섭취량이 25 % 증가합니다.,Formal,쓸모의 사용은 유형 2 당뇨병에 있는 당뇨병의 더 중대한 위험과 관련이 있습니다 비타민에 의하여 가라앉히는 독성의 각 추가 일은 질병의 위험을 증가합니다.,Formal,"감미료 음료의 섭취는 제 2 형 당뇨병 발병 위험이 높으며,하루에 감미료 음료를 추가로 제공하면 질병의 위험이 25%증가합니다.",Formal,"The consumption of sugary drinks is associated with an increased risk of type 2 diabetes, as each additional daily serving of sugary beverages is linked to a 25% higher risk of developing the disease. ",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Badania pokazują, że osoby, które wysypiają się wystarczająco, mają mniejsze ryzyko otyłości, ponieważ brak snu może wpływać na hormony regulujące apetyt, co prowadzi do objadania się i przyrostu masy ciała.",연구에 따르면 수면 부족은 식욕을 조절하는 호르몬에 영향을 미쳐 과식과 체중 증가로 이어질 수 있기 때문에 충분한 수면을 취하는 사람들은 비만 위험이 더 낮다.,,연구에 따르면 수면 부족은 식욕을 조절하는 호르몬에 영향을 미쳐 과식과 체중 증가로 이어질 수 있기 때문에 충분한 수면을 취하는 사람들은 비만 위험이 더 낮습니다.,연구에 따르면 수면 부족은 식욕을 조절하는 호르몬에 영향을 미쳐 과식과 체중 증가로 이어질 수 있기 때문에 충분한 수면을 취하는 사람들은 비만 위험이 더 낮다.,연구에 따르면 충분히 잠을 자는 사람들은 수면 부족이 식욕을 조절하는 호르몬에 영향을 미칠 수 있기 때문에 비만의 위험이 낮아지고 식사와 체중 증가로 이어질 수 있습니다.,Formal,연구에 따르면 수면 부족이 비만과 무게로 이어지는 규제 호르몬에 영향을 줄 수 있기 때문에 수면 부족이 위험이 적습니다.,Formal,연구에 따르면 충분한 수면을 취하는 사람들은 수면 부족이 식욕을 조절하는 호르몬에 영향을 미쳐 과식과 체중 증가로 이어질 수 있기 때문에 비만 위험이 낮습니다.,Formal,"Studies show that people who get enough sleep have a lower risk of obesity, as sleep deprivation can affect hormones that regulate appetite, leading to overeating and weight gain.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Według badania opublikowanego w JAMA Internal Medicine, osoby, które spożywają więcej pełnoziarnistych produktów zbożowych, owoców i warzyw, mają mniejsze ryzyko zachorowania na cukrzycę typu 2, ponieważ te produkty zawierają składniki odżywcze poprawiające wrażliwość na insulinę i kontrolę poziomu cukru we krwi.","JAMA Internal Medicine에 발표된 연구에 따르면, 통곡물, 과일, 채소를 더 많이 먹는 사람들은 인슐린 민감성과 혈당 조절을 개선하는 영양소를 함유하고 있기 때문에 제2형 당뇨병 발병 위험이 낮다.
",,"JAMA Internal Medicine에 발표된 연구에 따르면, 통곡물, 과일, 채소를 더 많이 먹는 사람들은 인슐린 민감성과 혈당 조절을 개선하는 영양소를 함유하고 있기 때문에 제2형 당뇨병 발병 위험이 낮습니다.","JAMA Internal Medicine에 발표된 연구에 따르면, 통곡물, 과일, 채소를 더 많이 먹는 사람들은 인슐린 민감성과 혈당 조절을 개선하는 영양소를 함유하고 있기 때문에 제2형 당뇨병 발병 위험이 낮다.","JAMA 내부 의학에 게시 된 연구에 따르면, 더 많은 곡물, 과일 및 채소를 섭취하는 사람들은 2 형 당뇨병의 위험이 낮습니다.이 제품은 인슐린 민감성을 향상시키고 혈당 수치를 조절하는 영양소를 함유하고 있기 때문에.",Formal,"JAMA 내부 의학에서 출판 된 연구에 따르면, 전체 길이 제품, 과일 및 야채를 먹는 사람이이 제품은 인슐린과 혈액 통제의 영양소를 함유했기 때문에 유형 2 당뇨병에 대한 위험이 적습니다.",Formal,"에 발표 된 연구에 따르면 자마 내과,곡물 시리얼 제품,과일 및 채소를 더 많이 섭취하는 사람들은 2 형 당뇨병 발병 위험이 낮습니다.이 식품에는 인슐린 감수성을 높이고 혈당 수치를 조절하는 영양소가 포함되어 있기 때문입니다.",Formal,"According to a study published in JAMA Internal Medicine, people who eat more whole grains, fruits, and vegetables have a lower risk of developing type 2 diabetes, as these foods contain nutrients that improve insulin sensitivity and blood sugar control.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Według raportu opublikowanego przez Światową Organizację Zdrowia (WHO), palenie tytoniu jest główną przyczyną ponad 8 mln zgonów rocznie na całym świecie. ","세계보건기구(WHO)가 발간한 보고서에 따르면 흡연은 전 세계적으로 연간 800만 명 이상의 사망을 초래하는 주요 원인이다.
",세계보건기구(WHO)가 발간한 보고서에 따르면 흡연은 전 세계적으로 연간 800만 명 이상의 사망을 초래하는 주요 원인이라고 한다.,세계보건기구(WHO)가 발간한 보고서에 따르면 흡연은 전 세계적으로 연간 800만 명 이상의 사망을 초래하는 주요 원인입니다.,세계보건기구(WHO)가 발간한 보고서에 따르면 흡연은 전 세계적으로 연간 800만 명 이상의 사망을 초래하는 주요 원인이다.,"세계보건기구(WHO)가 발표한 보고서에 따르면, 흡연은 전 세계적으로 매년 8백만 명이 넘는 사망자의 주요 원인이다.",Formal,세계 보건기구 (WHO)가 발표 한 보고서에 따르면 담배 연기는 연간 8 백만 명이 넘는 사망 원인입니다.,Formal,세계 보건 기구(누구)에 의해 발표 된 보고서에 따르면 흡연은 전 세계적으로 매년 800 만 명 이상의 사망의 주요 원인입니다.,Formal,"According to a report published by the World Health Organization (WHO), tobacco smoking is the leading cause of over 8 million deaths annually worldwide.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Chociaż dieta bezglutenowa jest niezbędna dla ludzi z celiakią, badania sugerują, że nie ma dowodów na to, że dieta ta jest zdrowsza dla ludzi bez choroby trzewnej.",체강 질병이 있는 사람들에게는 글루텐이 없는 식단이 필수적이지만 연구에 따르면 이 식단이 장 질환이 없는 사람들에게 더 건강하다는 증거는 없다.,"체강 질병이 있는 사람들에게는 글루텐이 없는 식단이 필수이지만, 이 식단이 장 질환이 없는 사람들에게 더 건강하다는 증거는 없다고 한다.",체강 질병이 있는 사람들에게는 글루텐이 없는 식단이 필수적이지만 연구에 따르면 이 식단이 장 질환이 없는 사람들에게 더 건강하다는 증거는 없습니다.,체강 질병이 있는 사람들에게는 글루텐이 없는 식단이 필수적이지만 연구에 따르면 이 식단이 장 질환이 없는 사람들에게 더 건강하다는 증거는 없다.,"글루텐이없는 다이어트는 셀리아카를 가진 사람들에게 필수적이지만, 연구에 따르면이 다이어트가 염증이없는 사람들에게 더 건강하다는 증거가 없다고 제안합니다.",Formal,"글루텐 다이어트는 성병 질환을 가진 사람들을 위해 필요하지만, 연구는 트리바없이 사람들을 위해 건강하다는 증거가 없다는 것을 제안한다.",Informal,"체강 질병을 가진 사람들에게는 글루텐이 없는 식단이 필요하지만,연구에 따르면 이 식단이 체강 질병이 없는 사람들에게 더 유익하다는 증거는 없습니다.",Formal,"Although a gluten-free diet is essential for people with celiac disease, studies suggest that there is no evidence that this diet is healthier for people without the intestinal disorder.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Niedobór witaminy D jest częsty wśród osób starszych i może prowadzić do szeregu poważnych chorób, takich jak osteoporoza i choroby serca.",비타민 D 결핍은 노인들에게 흔하며 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있다고 한다.,비타민 D 결핍은 노인들에게 흔하며 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있다.,비타민 D 결핍은 노인들에게 흔하며 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있습니다.,비타민 D 결핍은 노인들에게 흔하며 골다공증 및 심장병과 같은 다양한 심각한 질병을 유발할 수 있다.,비타민 D 결핍은 노인들 사이에서 흔하며 골다공증과 심장 질환과 같은 여러 가지 심각한 질병으로 이어질 수 있습니다.,Formal,비타민 D의 부재는 이전 사람들 중 일반이며 골다공증과 심장 질환과 같은 심각한 질병의 시리즈로 이어질 수 있습니다.,Formal,비타민 결핍은 노인들 사이에서 흔하며 골다공증 및 심장병과 같은 여러 심각한 질병을 유발할 수 있습니다.,Formal,"Vitamin D deficiency is common among older people and can lead to a range of serious diseases, such as osteoporosis and heart disease.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Choć dieta ketogeniczna może pomóc w utracie wagi i zmniejszeniu ryzyka chorób serca, badania sugerują, że może też prowadzić do niedoborów składników odżywczych i zaburzeń hormonalnych.",케토제닉 식단이 체중 감량에 도움이 되고 심장 질환의 위험을 줄일 수 있지만 연구에 따르면 영양 결핍과 호르몬 불균형을 유발할 수도 있다.,,케토제닉 식단이 체중 감량에 도움이 되고 심장 질환의 위험을 줄일 수 있지만 연구에 따르면 영양 결핍과 호르몬 불균형을 유발할 수도 있습니다.,케토제닉 식단이 체중 감량에 도움이 되고 심장 질환의 위험을 줄일 수 있지만 연구에 따르면 영양 결핍과 호르몬 불균형을 유발할 수도 있다.,"케토겐식이 요법은 체중 감량과 심장 질환의 위험을 줄일 수 있지만, 연구에 따르면 또한 영양소 결핍과 호르몬 장애로 이어질 수 있습니다.",Formal,ketogenics의식이 소화에 도움이 될 수 있지만 심장 질환의 위험을 줄일 수 있지만 연구는 비 민감성 영양소와 호르몬 장애로 이어질 수 있음을 제안합니다.,Formal,케톤 생성 식단은 체중 감량에 도움이 되고 심장 질환의 위험을 줄일 수 있지만 연구에 따르면 영양 결핍 및 호르몬 장애로 이어질 수도 있습니다.,Formal,"Although the ketogenic diet may help with weight loss and reduce the risk of heart disease, studies suggest that it may also lead to nutrient deficiencies and hormonal imbalances.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Badania sugerują, że picie herbaty może przynieść wiele korzyści zdrowotnych, w tym zmniejszenie ryzyka chorób serca i nowotworów oraz poprawę funkcji mózgu.",연구에 따르면 차를 마시면 심장병과 암의 위험을 줄이고 뇌 기능을 개선하는 등 많은 건강상의 이점을 얻을 수 있다.,,연구에 따르면 차를 마시면 심장병과 암의 위험을 줄이고 뇌 기능을 개선하는 등 많은 건강상의 이점을 얻을 수 있습니다.,연구에 따르면 차를 마시면 심장병과 암의 위험을 줄이고 뇌 기능을 개선하는 등 많은 건강상의 이점을 얻을 수 있다.,연구에 따르면 차를 마시는 것은 심장 질환과 암의 위험을 줄이고 뇌 기능을 향상시키는 것과 같은 많은 건강상의 이점을 가져올 수 있습니다.,Formal,연구는 차 음료는 심장병과 암의 위험을 감소시키기를 포함하여 더 건강상의 이점일지도 모릅니다.,Formal,연구에 따르면 차를 마시는 것은 심장병과 암의 위험을 줄이고 뇌 기능을 개선하는 등 많은 건강상의 이점을 가져올 수 있습니다.,Formal,"Studies suggest that drinking tea can provide many health benefits, including reducing the risk of heart disease and cancer and improving brain function.",Complex,Health & Wellness,ChatGBT,,,,,
"Regularne wykonywanie ćwiczeń siłowych może pomóc w zwiększeniu masy mięśniowej oraz poprawie zdrowia kości, co jest szczególnie ważne dla osób starszych, które są bardziej narażone na osteoporozę i osłabienie mięśni. ","정기적인 근력 운동은 근육량을 늘리고 뼈 건강을 개선하는 데 도움이 될 수 있으며, 이는 골다공증과 근육 약화에 더 취약한 노인에게 특히 중요하다.",,"정기적인 근력 운동은 근육량을 늘리고 뼈 건강을 개선하는 데 도움이 될 수 있으며, 이는 골다공증과 근육 약화에 더 취약한 노인에게 특히 중요합니다.","정기적인 근력 운동은 근육량을 늘리고 뼈 건강을 개선하는 데 도움이 될 수 있으며, 이는 골다공증과 근육 약화에 더 취약한 노인에게 특히 중요하다.","정기적으로 힘 운동을하는 것은 근육 질량을 증가시키고 뼈 건강을 향상시키는 데 도움이 될 수 있으며, 이는 골다공증과 근육 약화에 더 취약한 노인들에게 특히 중요합니다.",Formal,정상 운동은 근육 질량을 증가시키고 osteoporosis와 약화 근육에 더 취약한 오래된 사람들을 위해 특히 중요합니다 뼈의 건강을 개량할 수 있습니다.,Formal,"정기적 인 근력 운동은 근육량을 늘리고 뼈 건강을 개선하는 데 도움이 될 수 있으며,이는 골다공증 및 근육 약화의 위험이 높은 노인에게 특히 중요합니다.",Formal,"Regular strength training can help increase muscle mass and improve bone health, which is particularly important for older adults who are more susceptible to osteoporosis and muscle weakness.",Compound Complex,Health & Wellness,ChatGBT,,,,,
"Właściwa higiena jamy ustnej, w tym regularne mycie zębów, przyczynia się do utrzymania zdrowych zębów i dziąseł oraz zapobiega chorobom jamy ustnej, takim jak próchnica czy paradontoza.","규칙적인 양치질을 포함한 올바른 구강 위생은 건강한 치아와 잇몸을 유지하는 데 기여하고 충치 및 치주염과 같은 구강 질환을 예방한다.
","올바른 구강 위생에는 규칙적인 양치질이 포함되며, 이는 건강한 치아와 잇몸을 유지하는 데 큰 역할을 한다. 또한, 충치 및 치주염과 같은 구강 질환을 예방하는 데도 중요하다.","올바른 구강 위생에는 규칙적인 양치질이 포함되며, 이는 건강한 치아와 잇몸을 유지하는 데 큰 역할을 한다. 또한, 충치 및 치주염과 같은 구강 질환을 예방하는 데도 중요합니다.","올바른 구강 위생에는 규칙적인 양치질이 포함되며, 이는 건강한 치아와 잇몸을 유지하는 데 큰 역할을 한다. 또한, 충치 및 치주염과 같은 구강 질환을 예방하는 데도 중요하다.",정기적으로 치아를 닦는 것을 포함하여 구강의 적절한 위생은 건강한 치아와 치아를 유지하는 데 도움이되며 구강 질환을 예방합니다.,Formal,"일반 치아를 포함 하 여 위생 잼, 건강 한 치아의 유지에 기여, 치아와 paradonz와 같은 입의 질병을 방지.",Informal,정기적 인 치아 칫솔질을 포함한 적절한 구강 위생은 건강한 치아와 잇몸의 유지에 기여하고 충치 또는 치주 질환과 같은 구강 질환을 예방합니다.,Formal,"Proper oral hygiene, including regular teeth brushing, contributes to maintaining healthy teeth and gums and prevents oral diseases such as cavities and periodontitis.",Complex,Health & Wellness,ChatGBT,,,,,
"Regularne spożywanie ryb, które są bogate w nienasycone kwasy tłuszczowe Omega-3, może pomóc w obniżeniu poziomu trójglicerydów we krwi, a tym samym zmniejszyć ryzyko chorób serca.",불포화 오메가-3 지방산이 풍부한 생선을 규칙적으로 섭취하면 혈중 트리글리세리드 수치를 낮추어 심장 질환의 위험을 줄일 수 있다.,,불포화 오메가-3 지방산이 풍부한 생선을 규칙적으로 섭취하면 혈중 트리글리세리드 수치를 낮추어 심장 질환의 위험을 줄일 수 있습니다.,불포화 오메가-3 지방산이 풍부한 생선을 규칙적으로 섭취하면 혈중 트리글리세리드 수치를 낮추어 심장 질환의 위험을 줄일 수 있다.,포화되지 않은 오메가-3 지방산이 풍부한 물고기를 정기적으로 섭취하면 혈액에서 트리글리세리드 수치를 낮추고 심장 질환의 위험을 줄일 수 있습니다.,Formal,비침범성 오메가-3에 부유 한 일반 물고기는 혈액에서 트리글리세라이드의 수준을 감소 시키는 데 도움이 될 수 있으며 따라서 심장 질환의 위험을 줄일 수 있습니다.,Formal,불포화 오메가 -3 지방산이 풍부한 생선을 정기적으로 섭취하면 혈중 트리글리세리드 수치를 줄여 심장 질환의 위험을 줄일 수 있습니다.,Formal,"Regular consumption of fish, which are rich in unsaturated omega-3 fatty acids, can help lower the level of triglycerides in the blood, and thus reduce the risk of heart diseases.",Complex,Health & Wellness,ChatGBT,,,,,
"Stres jest czynnikiem ryzyka wielu chorób, w tym chorób serca, chorób autoimmunologicznych i chorób psychicznych, dlatego ważne jest, aby stosować skuteczne metody zarządzania stresem, takie jak medytacja, joga lub terapia behawioralna.","스트레스는 심장질환, 자가면역질환, 정신질환 등 많은 질병의 위험인자이므로 명상, 요가, 행동치료 등 효과적인 스트레스 관리 기법을 활용하는 것이 중요하다.",,"스트레스는 심장질환, 자가면역질환, 정신질환 등 많은 질병의 위험인자이므로 명상, 요가, 행동치료 등 효과적인 스트레스 관리 기법을 활용하는 것이 중요합니다.","스트레스는 심장질환, 자가면역질환, 정신질환 등 많은 질병의 위험인자이므로 명상, 요가, 행동치료 등 효과적인 스트레스 관리 기법을 활용하는 것이 중요하다.","스트레스는 심장 질환, 자기 면역 질환 및 정신 질환을 포함한 여러 질병의 위험 요인이며, 따라서 명상, 요가 또는 행동 치료와 같은 효과적인 스트레스 관리 방법을 사용하는 것이 중요합니다.",Formal,"Stres는 심장 질환, 면역 질환 및 정신 질환을 포함한 많은 질병의 위험 요인이므로 약, 요가 또는 행동 요법과 같은 효과적인 strenuous 관리 방법을 만드는 것이 중요합니다.",Formal,"스트레스는 심장 질환,자가 면역 질환 및 정신 질환을 포함한 많은 질병의 위험 요소이므로 명상,요가 또는 행동 요법과 같은 효과적인 스트레스 관리 방법을 사용하는 것이 중요합니다.",Formal,"Stress is a risk factor for many illnesses, including heart disease, autoimmune diseases, and mental health conditions, so it is important to use effective stress management techniques such as meditation, yoga, or behavioral therapy.",Complex,Health & Wellness,ChatGBT,,,,,
"Badania pokazują, że spędzanie czasu na świeżym powietrzu, nawet przez kilka minut dziennie, może mieć pozytywny wpływ na zdrowie psychiczne i fizyczne, w tym zmniejszenie stresu i poprawę nastroju.",연구에 따르면 하루에 단 몇 분이라도 자연에서 시간을 보내는 것은 스트레스 감소 및 기분 개선을 포함하여 정신 및 신체 건강에 긍정적인 영향을 미칠 수 있다.,,연구에 따르면 하루에 단 몇 분이라도 자연에서 시간을 보내는 것은 스트레스 감소 및 기분 개선을 포함하여 정신 및 신체 건강에 긍정적인 영향을 미칠 수 있습니다.,연구에 따르면 하루에 단 몇 분이라도 자연에서 시간을 보내는 것은 스트레스 감소 및 기분 개선을 포함하여 정신 및 신체 건강에 긍정적인 영향을 미칠 수 있다.,연구에 따르면 하루에 몇 분 동안 신선한 공기에서 시간을 보내는 것은 스트레스를 줄이고 기분을 향상시키는 것과 같은 정신 및 신체 건강에 긍정적 인 영향을 미칠 수 있습니다.,Formal,"연구는 신선한 공기에 시간을 보내고, 하루 몇 분 동안, 두려움과 개선을 포함하여 정신 건강과 신체 건강에 긍정적 인 영향을 미칠 수있다.",Informal,"연구에 따르면 하루에 몇 분이라도 야외에서 시간을 보내는 것은 스트레스를 줄이고 기분을 개선하는 등 정신적,육체적 건강에 긍정적인 영향을 미칠 수 있습니다.",Formal,"Research shows that spending time in nature, even just for a few minutes a day, can have positive effects on mental and physical health, including reduced stress and improved mood.",Complex,Health & Wellness,ChatGBT,,,,,
"Z badań wynika, że długotrwałe przebywanie w izolacji zwiększa ryzyko wystąpienia depresji i zaburzeń lękowych.",연구에 따르면 장기간의 격리는 우울증과 불안 장애의 위험을 증가시킨다.,,연구에 따르면 장기간의 격리는 우울증과 불안 장애의 위험을 증가시킬 수 있습니다.,연구에 따르면 장기간의 격리는 우울증과 불안 장애의 위험을 증가시킨다.,연구에 따르면 오랫동안 고립 된 상태에 머무르는 것은 우울증과 불안 장애의 위험을 증가시킵니다.,Formal,결과적으로 장기적인 고립은 우울증과 불안 장애의 위험을 증가시킵니다.,Formal,연구에 따르면 장기간의 격리는 우울증과 불안 장애의 위험을 증가시킵니다.,Formal,Research shows that prolonged isolation increases the risk of depression and anxiety disorders.,Complex,Health & Wellness,ChatGBT,,,,,
Depresja jest jednym z głównych czynników wpływających na ogólny stan zdrowia na świecie i może prowadzić do trudności w codziennym funkcjonowaniu.,우울증은 전 세계적으로 전반적인 건강에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 초래할 수 있다.,,우울증은 전 세계적으로 전반적인 건강에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 초래할 수 있습니다.,우울증은 전 세계적으로 전반적인 건강에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 초래할 수 있다.,우울증은 전 세계의 건강 상태에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 초래할 수 있습니다.,Formal,Depresja는 세계의 일반적인 건강에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 일으킬 수 있습니다.,Formal,우울증은 전 세계의 전반적인 건강에 영향을 미치는 주요 요인 중 하나이며 일상적인 기능에 어려움을 초래할 수 있습니다.,Formal,Depression is one of the leading factors affecting overall health worldwide and can lead to difficulties in daily functioning.,Complex,Health & Wellness,ChatGBT,,,,,
Terapia poznawczo-behawioralna jest skutecznym sposobem leczenia depresji i zaburzeń lękowych u dorosłych. ,인지 행동 요법은 성인의 우울증과 불안 장애를 치료하는 효과적인 방법이다.,,인지 행동 요법은 성인의 우울증과 불안 장애를 치료하는 효과적인 방법입니다.,인지 행동 요법은 성인의 우울증과 불안 장애를 치료하는 효과적인 방법이다.,인지 행동 치료는 성인의 우울증과 불안 장애를 치료하는 효과적인 방법입니다.,Formal,인지 행동 치료는 우울증과 불안 장애의 치료에 효과적입니다.,Formal,인지 행동 치료는 성인의 우울증 및 불안 장애에 대한 효과적인 치료법입니다.,Formal,Cognitive-behavioral therapy is an effective way to treat depression and anxiety disorders in adults.,Simple,Health & Wellness,ChatGBT,,,,,
"Pomimo wzrostu popularności jogi i medytacji w ostatnich latach, badania wykazują, że tylko 14% Amerykanów regularnie medytuje.",최근 몇 년 동안 요가와 명상의 인기가 높아지고 있음에도 불구하고 연구에 따르면 미국인의 14%만이 정기적으로 명상을 한다.,,최근 몇 년 동안 요가와 명상의 인기가 높아지고 있음에도 불구하고 연구에 따르면 미국인의 14%만이 정기적으로 명상을 합니다.,최근 몇 년 동안 요가와 명상의 인기가 높아지고 있음에도 불구하고 연구에 따르면 미국인의 14%만이 정기적으로 명상을 한다.,"요가와 명상의 인기가 최근 몇 년 동안 증가했음에도 불구하고, 연구에 따르면 미국인의 14 %만이 정기적으로 명상하고 있습니다.",Formal,최근 몇 년 동안 요가와 의학의 증가 인기에도 불구하고 연구는 미국인의 14%가 정기적으로 명상을 보여준다.,Informal,최근 몇 년 동안 요가와 명상의 인기가 높아지고 있음에도 불구하고 연구에 따르면 미국인의 14%만이 정기적으로 명상합니다.,Formal,"Despite the growing popularity of yoga and meditation in recent years, studies show that only 14% of Americans meditate regularly.",Complex,Health & Wellness,ChatGBT,,,,,
"Wykazano, że regularna aktywność fizyczna zwiększa poziom endorfin, hormonów szczęścia, i może pomóc w łagodzeniu objawów depresji.",규칙적인 신체 활동이 행복 호르몬인 엔도르핀 수치를 증가시키고 우울증 증상을 완화하는 데 도움이 될 수 있음이 입증되었다.,,규칙적인 신체 활동이 행복 호르몬인 엔도르핀 수치를 증가시키고 우울증 증상을 완화하는 데 도움이 될 수 있음이 입증되었습니다.,규칙적인 신체 활동이 행복 호르몬인 엔도르핀 수치를 증가시키고 우울증 증상을 완화하는 데 도움이 될 수 있음이 입증되었다.,"정기적 인 신체 활동은 endorphins, 행복 호르몬의 수준을 증가시키는 것으로 나타났으며, 우울증의 증상을 완화하는 데 도움이 될 수 있습니다.",Formal,"일반 신체 활동이 Endorfin의 수준을 증가, 행복의 호르몬, 우울증을 완화하는 데 도움이 될 수있다.",Informal,규칙적인 신체 활동은 행복의 호르몬 인 엔돌핀 수치를 증가시키고 우울증 증상을 완화하는 데 도움이 될 수 있습니다.,Formal,"It has been shown / proven that regular physical activity increases the levels of endorphins, the happiness hormones, and can help alleviate symptoms of depression.",Complex,Health & Wellness,ChatGBT,,,,,
"Badania sugerują, że słuchanie muzyki może obniżać poziom kortyzolu, hormonu stresu, co może pomóc w łagodzeniu objawów depresji i lęku.",연구에 따르면 음악을 들으면 우울증과 불안 증상을 완화하는 데 도움이 되는 스트레스 호르몬인 코르티솔 수치가 낮아질 수 있다.,,연구에 따르면 음악을 들으면 우울증과 불안 증상을 완화하는 데 도움이 되는 스트레스 호르몬인 코르티솔 수치가 낮아질 수 있습니다.,연구에 따르면 음악을 들으면 우울증과 불안 증상을 완화하는 데 도움이 되는 스트레스 호르몬인 코르티솔 수치가 낮아질 수 있다.,"연구에 따르면 음악을 듣는 것은 우울증과 불안의 증상을 완화하는 데 도움이 될 수있는 코티솔, 스트레스 호르몬의 수준을 낮출 수 있습니다.",Formal,"연구는 음악의 청취가 코 티톨의 수준을 줄일 수 있다고 제안, hormonu stresu, 우울증과 불안을 완화 할 수 있습니다.",Formal,연구에 따르면 음악을 듣는 것은 우울증과 불안 증상을 완화하는 데 도움이되는 스트레스 호르몬 인 코티솔 수치를 낮출 수 있습니다.,Formal,"Research suggests that listening to music may lower the levels of cortisol, the stress hormone, which can help alleviate symptoms of depression and anxiety.",Complex,Health & Wellness,ChatGBT,,,,,
"Regularne korzystanie z sauny może pomóc w poprawie krążenia, zwiększeniu odporności organizmu i zmniejszeniu objawów bólu.",사우나를 정기적으로 사용하면 혈액 순환을 개선하고 면역력을 높이며 통증 증상을 줄일 수 있다.,,사우나를 정기적으로 사용하면 혈액 순환을 개선하고 면역력을 높이며 통증 증상을 줄일 수 있습니다.,사우나를 정기적으로 사용하면 혈액 순환을 개선하고 면역력을 높이며 통증 증상을 줄일 수 있다.,정기적으로 사우나를 사용하면 회전을 개선하고 신체의 면역력을 향상시키고 통증의 증상을 줄일 수 있습니다.,Formal,사우나의 일반 사용은 치질을 개선하고 유기체의 저항을 증가시키고 통증을 감소시킬 수 있습니다.,Formal,사우나를 정기적으로 사용하면 혈액 순환을 개선하고 신체의 저항을 증가 시키며 통증 증상을 줄일 수 있습니다.,Formal,"Regular use of a sauna can help improve circulation, increase immunity, and reduce pain symptoms.",Complex,Health & Wellness,ChatGBT,,,,,
"Chociaż stosowanie naturalnych produktów do pielęgnacji skóry jest coraz popularniejsze, nadal trzeba uważać na niektóre składniki, takie jak olejek eukaliptusowy, który może powodować podrażnienia skóry.","천연화장품 사용이 대중화되고 있지만, 유칼립투스 오일 등 피부 자극을 유발할 수 있는 일부 성분은 여전히 주의해서 접근해야 한다.",,"천연화장품 사용이 대중화되고 있지만, 유칼립투스 오일 등 피부 자극을 유발할 수 있는 일부 성분은 여전히 주의해서 접근해야 합니다.","천연화장품 사용이 대중화되고 있지만, 유칼립투스 오일 등 피부 자극을 유발할 수 있는 일부 성분은 여전히 주의해서 접근해야 한다.","자연 피부 관리 제품의 사용이 점점 더 인기가 있지만, 여전히 피부 자극을 일으킬 수있는 유칼립트 오일과 같은 일부 성분에주의를 기울여야합니다.",Formal,"자연적인 제품의 사용은 보육에 피부가 점점 대중적입니다, 피부 자극을 일으키는 원인이 될 수 있는 eucalyptic 기름과 같은 몇몇 성분이기 위하여 아직도 고려됩니다.",Formal,천연 스킨 케어 제품의 사용이 점점 더 인기를 얻고 있지만 피부 자극을 유발할 수 있는 유칼립투스 오일과 같은 일부 성분에는 여전히 주의해야 합니다.,Formal,"Although using natural skincare products is becoming more popular, some ingredients such as eucalyptus oil, which can cause skin irritation, still need to be approached with caution.",Complex,Health & Wellness,ChatGBT,,,,,
